#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_unm49,#meta+source+cod_ab_level,#country+code+v_iso3,#country+code+v_iso2
1603:16:8:0,8,8,0,ALB,AL
1603:16:8:1,8,8,1,ALB,AL
1603:16:8:2,8,8,2,ALB,AL
1603:16:8:3,8,8,3,ALB,AL
1603:16:12:0,12,12,0,DZA,DZ
1603:16:12:1,12,12,1,DZA,DZ
1603:16:12:2,12,12,2,DZA,DZ
1603:16:24:0,24,24,0,AGO,AO
1603:16:24:1,24,24,1,AGO,AO
1603:16:24:2,24,24,2,AGO,AO
1603:16:24:3,24,24,3,AGO,AO
1603:16:28:0,28,28,0,ATG,AG
1603:16:28:1,28,28,1,ATG,AG
1603:16:31:0,31,31,0,AZE,AZ
1603:16:31:1,31,31,1,AZE,AZ
1603:16:32:0,32,32,0,ARG,AR
1603:16:32:1,32,32,1,ARG,AR
1603:16:32:2,32,32,2,ARG,AR
1603:16:44:0,44,44,0,BHS,BS
1603:16:44:1,44,44,1,BHS,BS
1603:16:50:0,50,50,0,BGD,BD
1603:16:50:1,50,50,1,BGD,BD
1603:16:50:2,50,50,2,BGD,BD
1603:16:50:3,50,50,3,BGD,BD
1603:16:50:4,50,50,4,BGD,BD
1603:16:51:0,51,51,0,ARM,AM
1603:16:51:1,51,51,1,ARM,AM
1603:16:51:2,51,51,2,ARM,AM
1603:16:52:0,52,52,0,BRB,BB
1603:16:52:1,52,52,1,BRB,BB
1603:16:60:0,60,60,0,BMU,BM
1603:16:60:1,60,60,1,BMU,BM
1603:16:60:2,60,60,2,BMU,BM
1603:16:64:0,64,64,0,BTN,BT
1603:16:64:1,64,64,1,BTN,BT
1603:16:64:2,64,64,2,BTN,BT
1603:16:68:0,68,68,0,BOL,BO
1603:16:68:1,68,68,1,BOL,BO
1603:16:68:2,68,68,2,BOL,BO
1603:16:68:3,68,68,3,BOL,BO
1603:16:72:0,72,72,0,BWA,BW
1603:16:72:1,72,72,1,BWA,BW
1603:16:72:2,72,72,2,BWA,BW
1603:16:72:3,72,72,3,BWA,BW
1603:16:76:0,76,76,0,BRA,BR
1603:16:76:1,76,76,1,BRA,BR
1603:16:76:2,76,76,2,BRA,BR
1603:16:84:0,84,84,0,BLZ,BZ
1603:16:84:1,84,84,1,BLZ,BZ
1603:16:90:0,90,90,0,SLB,SB
1603:16:90:1,90,90,1,SLB,SB
1603:16:90:2,90,90,2,SLB,SB
1603:16:90:3,90,90,3,SLB,SB
1603:16:92:0,92,92,0,VGB,VG
1603:16:92:1,92,92,1,VGB,VG
1603:16:100:0,100,100,0,BGR,BG
1603:16:100:1,100,100,1,BGR,BG
1603:16:100:2,100,100,2,BGR,BG
1603:16:104:0,104,104,0,MMR,MM
1603:16:104:1,104,104,1,MMR,MM
1603:16:104:2,104,104,2,MMR,MM
1603:16:104:3,104,104,3,MMR,MM
1603:16:108:0,108,108,0,BDI,BI
1603:16:108:1,108,108,1,BDI,BI
1603:16:108:2,108,108,2,BDI,BI
1603:16:112:0,112,112,0,BLR,BY
1603:16:112:1,112,112,1,BLR,BY
1603:16:112:2,112,112,2,BLR,BY
1603:16:116:0,116,116,0,KHM,KH
1603:16:116:1,116,116,1,KHM,KH
1603:16:116:2,116,116,2,KHM,KH
1603:16:116:3,116,116,3,KHM,KH
1603:16:120:0,120,120,0,CMR,CM
1603:16:120:1,120,120,1,CMR,CM
1603:16:120:2,120,120,2,CMR,CM
1603:16:120:3,120,120,3,CMR,CM
1603:16:132:0,132,132,0,CPV,CV
1603:16:132:1,132,132,1,CPV,CV
1603:16:132:2,132,132,2,CPV,CV
1603:16:136:0,136,136,0,CYM,KY
1603:16:136:1,136,136,1,CYM,KY
1603:16:140:0,140,140,0,CAF,CF
1603:16:140:1,140,140,1,CAF,CF
1603:16:140:2,140,140,2,CAF,CF
1603:16:140:3,140,140,3,CAF,CF
1603:16:144:0,144,144,0,LKA,LK
1603:16:144:1,144,144,1,LKA,LK
1603:16:144:2,144,144,2,LKA,LK
1603:16:144:3,144,144,3,LKA,LK
1603:16:144:4,144,144,4,LKA,LK
1603:16:148:0,148,148,0,TCD,TD
1603:16:148:1,148,148,1,TCD,TD
1603:16:148:2,148,148,2,TCD,TD
1603:16:152:0,152,152,0,CHL,CL
1603:16:152:1,152,152,1,CHL,CL
1603:16:152:2,152,152,2,CHL,CL
1603:16:152:3,152,152,3,CHL,CL
1603:16:156:0,156,156,0,CHN,CN
1603:16:156:1,156,156,1,CHN,CN
1603:16:156:2,156,156,2,CHN,CN
1603:16:170:0,170,170,0,COL,CO
1603:16:170:1,170,170,1,COL,CO
1603:16:170:2,170,170,2,COL,CO
1603:16:174:0,174,174,0,COM,KM
1603:16:174:1,174,174,1,COM,KM
1603:16:174:2,174,174,2,COM,KM
1603:16:174:3,174,174,3,COM,KM
1603:16:178:0,178,178,0,COG,CG
1603:16:178:1,178,178,1,COG,CG
1603:16:178:2,178,178,2,COG,CG
1603:16:180:0,180,180,0,COD,CD
1603:16:180:1,180,180,1,COD,CD
1603:16:180:2,180,180,2,COD,CD
1603:16:188:0,188,188,0,CRI,CR
1603:16:188:1,188,188,1,CRI,CR
1603:16:188:2,188,188,2,CRI,CR
1603:16:188:3,188,188,3,CRI,CR
1603:16:192:0,192,192,0,CUB,CU
1603:16:192:1,192,192,1,CUB,CU
1603:16:192:2,192,192,2,CUB,CU
1603:16:204:0,204,204,0,BEN,BJ
1603:16:204:1,204,204,1,BEN,BJ
1603:16:204:2,204,204,2,BEN,BJ
1603:16:212:0,212,212,0,DMA,DM
1603:16:212:1,212,212,1,DMA,DM
1603:16:214:0,214,214,0,DOM,DO
1603:16:214:1,214,214,1,DOM,DO
1603:16:214:2,214,214,2,DOM,DO
1603:16:214:3,214,214,3,DOM,DO
1603:16:214:4,214,214,4,DOM,DO
1603:16:218:0,218,218,0,ECU,EC
1603:16:218:1,218,218,1,ECU,EC
1603:16:218:2,218,218,2,ECU,EC
1603:16:218:3,218,218,3,ECU,EC
1603:16:222:0,222,222,0,SLV,SV
1603:16:222:1,222,222,1,SLV,SV
1603:16:222:2,222,222,2,SLV,SV
1603:16:231:0,231,231,0,ETH,ET
1603:16:231:1,231,231,1,ETH,ET
1603:16:231:2,231,231,2,ETH,ET
1603:16:231:3,231,231,3,ETH,ET
1603:16:232:0,232,232,0,ERI,ER
1603:16:232:1,232,232,1,ERI,ER
1603:16:232:2,232,232,2,ERI,ER
1603:16:242:0,242,242,0,FJI,FJ
1603:16:242:1,242,242,1,FJI,FJ
1603:16:242:2,242,242,2,FJI,FJ
1603:16:242:3,242,242,3,FJI,FJ
1603:16:254:0,254,254,0,GUF,GF
1603:16:254:1,254,254,1,GUF,GF
1603:16:254:2,254,254,2,GUF,GF
1603:16:262:0,262,262,0,DJI,DJ
1603:16:262:1,262,262,1,DJI,DJ
1603:16:262:2,262,262,2,DJI,DJ
1603:16:266:0,266,266,0,GAB,GA
1603:16:266:1,266,266,1,GAB,GA
1603:16:266:2,266,266,2,GAB,GA
1603:16:268:0,268,268,0,GEO,GE
1603:16:268:1,268,268,1,GEO,GE
1603:16:270:0,270,270,0,GMB,GM
1603:16:270:1,270,270,1,GMB,GM
1603:16:270:2,270,270,2,GMB,GM
1603:16:275:0,275,275,0,PSE,PS
1603:16:275:1,275,275,1,PSE,PS
1603:16:275:2,275,275,2,PSE,PS
1603:16:288:0,288,288,0,GHA,GH
1603:16:288:1,288,288,1,GHA,GH
1603:16:288:2,288,288,2,GHA,GH
1603:16:296:0,296,296,0,KIR,KI
1603:16:296:1,296,296,1,KIR,KI
1603:16:296:2,296,296,2,KIR,KI
1603:16:308:0,308,308,0,GRD,GD
1603:16:308:1,308,308,1,GRD,GD
1603:16:312:0,312,312,0,GLP,GP
1603:16:312:1,312,312,1,GLP,GP
1603:16:312:2,312,312,2,GLP,GP
1603:16:320:0,320,320,0,GTM,GT
1603:16:320:1,320,320,1,GTM,GT
1603:16:320:2,320,320,2,GTM,GT
1603:16:324:0,324,324,0,GIN,GN
1603:16:324:1,324,324,1,GIN,GN
1603:16:324:2,324,324,2,GIN,GN
1603:16:324:3,324,324,3,GIN,GN
1603:16:328:0,328,328,0,GUY,GY
1603:16:328:1,328,328,1,GUY,GY
1603:16:328:2,328,328,2,GUY,GY
1603:16:332:0,332,332,0,HTI,HT
1603:16:332:1,332,332,1,HTI,HT
1603:16:332:2,332,332,2,HTI,HT
1603:16:332:3,332,332,3,HTI,HT
1603:16:340:0,340,340,0,HND,HN
1603:16:340:1,340,340,1,HND,HN
1603:16:340:2,340,340,2,HND,HN
1603:16:348:0,348,348,0,HUN,HU
1603:16:348:1,348,348,1,HUN,HU
1603:16:348:2,348,348,2,HUN,HU
1603:16:360:0,360,360,0,IDN,ID
1603:16:360:1,360,360,1,IDN,ID
1603:16:360:2,360,360,2,IDN,ID
1603:16:360:3,360,360,3,IDN,ID
1603:16:360:4,360,360,4,IDN,ID
1603:16:364:0,364,364,0,IRN,IR
1603:16:364:1,364,364,1,IRN,IR
1603:16:364:2,364,364,2,IRN,IR
1603:16:368:0,368,368,0,IRQ,IQ
1603:16:368:1,368,368,1,IRQ,IQ
1603:16:368:2,368,368,2,IRQ,IQ
1603:16:368:3,368,368,3,IRQ,IQ
1603:16:384:0,384,384,0,CIV,CI
1603:16:384:1,384,384,1,CIV,CI
1603:16:384:2,384,384,2,CIV,CI
1603:16:384:3,384,384,3,CIV,CI
1603:16:388:0,388,388,0,JAM,JM
1603:16:388:1,388,388,1,JAM,JM
1603:16:392:0,392,392,0,JPN,JP
1603:16:392:1,392,392,1,JPN,JP
1603:16:392:2,392,392,2,JPN,JP
1603:16:398:0,398,398,0,KAZ,KZ
1603:16:398:1,398,398,1,KAZ,KZ
1603:16:398:2,398,398,2,KAZ,KZ
1603:16:404:0,404,404,0,KEN,KE
1603:16:404:1,404,404,1,KEN,KE
1603:16:404:2,404,404,2,KEN,KE
1603:16:408:0,408,408,0,PRK,KP
1603:16:408:1,408,408,1,PRK,KP
1603:16:408:2,408,408,2,PRK,KP
1603:16:417:0,417,417,0,KGZ,KG
1603:16:417:1,417,417,1,KGZ,KG
1603:16:418:0,418,418,0,LAO,LA
1603:16:418:1,418,418,1,LAO,LA
1603:16:418:2,418,418,2,LAO,LA
1603:16:422:0,422,422,0,LBN,LB
1603:16:422:1,422,422,1,LBN,LB
1603:16:422:2,422,422,2,LBN,LB
1603:16:422:3,422,422,3,LBN,LB
1603:16:426:0,426,426,0,LSO,LS
1603:16:426:1,426,426,1,LSO,LS
1603:16:426:2,426,426,2,LSO,LS
1603:16:430:0,430,430,0,LBR,LR
1603:16:430:1,430,430,1,LBR,LR
1603:16:430:2,430,430,2,LBR,LR
1603:16:434:0,434,434,0,LBY,LY
1603:16:434:1,434,434,1,LBY,LY
1603:16:434:2,434,434,2,LBY,LY
1603:16:450:0,450,450,0,MDG,MG
1603:16:450:1,450,450,1,MDG,MG
1603:16:450:2,450,450,2,MDG,MG
1603:16:450:3,450,450,3,MDG,MG
1603:16:450:4,450,450,4,MDG,MG
1603:16:454:0,454,454,0,MWI,MW
1603:16:454:1,454,454,1,MWI,MW
1603:16:454:2,454,454,2,MWI,MW
1603:16:454:3,454,454,3,MWI,MW
1603:16:458:0,458,458,0,MYS,MY
1603:16:458:1,458,458,1,MYS,MY
1603:16:458:2,458,458,2,MYS,MY
1603:16:462:0,462,462,0,MDV,MV
1603:16:462:1,462,462,1,MDV,MV
1603:16:462:2,462,462,2,MDV,MV
1603:16:462:3,462,462,3,MDV,MV
1603:16:466:0,466,466,0,MLI,ML
1603:16:466:1,466,466,1,MLI,ML
1603:16:466:2,466,466,2,MLI,ML
1603:16:466:3,466,466,3,MLI,ML
1603:16:474:0,474,474,0,MTQ,MQ
1603:16:474:1,474,474,1,MTQ,MQ
1603:16:474:2,474,474,2,MTQ,MQ
1603:16:478:0,478,478,0,MRT,MR
1603:16:478:1,478,478,1,MRT,MR
1603:16:478:2,478,478,2,MRT,MR
1603:16:480:0,480,480,0,MUS,MU
1603:16:480:1,480,480,1,MUS,MU
1603:16:484:0,484,484,0,MEX,MX
1603:16:484:1,484,484,1,MEX,MX
1603:16:484:2,484,484,2,MEX,MX
1603:16:496:0,496,496,0,MNG,MN
1603:16:496:1,496,496,1,MNG,MN
1603:16:496:2,496,496,2,MNG,MN
1603:16:498:0,498,498,0,MDA,MD
1603:16:498:1,498,498,1,MDA,MD
1603:16:500:0,500,500,0,MSR,MS
1603:16:500:1,500,500,1,MSR,MS
1603:16:504:0,504,504,0,MAR,MA
1603:16:504:1,504,504,1,MAR,MA
1603:16:504:2,504,504,2,MAR,MA
1603:16:508:0,508,508,0,MOZ,MZ
1603:16:508:1,508,508,1,MOZ,MZ
1603:16:508:2,508,508,2,MOZ,MZ
1603:16:508:3,508,508,3,MOZ,MZ
1603:16:516:0,516,516,0,NAM,NA
1603:16:516:1,516,516,1,NAM,NA
1603:16:516:2,516,516,2,NAM,NA
1603:16:524:0,524,524,0,NPL,NP
1603:16:524:1,524,524,1,NPL,NP
1603:16:524:2,524,524,2,NPL,NP
1603:16:534:0,534,534,0,SXM,SX
1603:16:534:1,534,534,1,SXM,SX
1603:16:548:0,548,548,0,VUT,VU
1603:16:548:1,548,548,1,VUT,VU
1603:16:548:2,548,548,2,VUT,VU
1603:16:558:0,558,558,0,NIC,NI
1603:16:558:1,558,558,1,NIC,NI
1603:16:558:2,558,558,2,NIC,NI
1603:16:562:0,562,562,0,NER,NE
1603:16:562:1,562,562,1,NER,NE
1603:16:562:2,562,562,2,NER,NE
1603:16:562:3,562,562,3,NER,NE
1603:16:566:0,566,566,0,NGA,NG
1603:16:566:1,566,566,1,NGA,NG
1603:16:566:2,566,566,2,NGA,NG
1603:16:583:0,583,583,0,FSM,FM
1603:16:583:1,583,583,1,FSM,FM
1603:16:583:2,583,583,2,FSM,FM
1603:16:584:0,584,584,0,MHL,MH
1603:16:584:1,584,584,1,MHL,MH
1603:16:584:2,584,584,2,MHL,MH
1603:16:586:0,586,586,0,PAK,PK
1603:16:586:1,586,586,1,PAK,PK
1603:16:586:2,586,586,2,PAK,PK
1603:16:586:3,586,586,3,PAK,PK
1603:16:591:0,591,591,0,PAN,PA
1603:16:591:1,591,591,1,PAN,PA
1603:16:591:2,591,591,2,PAN,PA
1603:16:591:3,591,591,3,PAN,PA
1603:16:598:0,598,598,0,PNG,PG
1603:16:598:1,598,598,1,PNG,PG
1603:16:598:2,598,598,2,PNG,PG
1603:16:598:3,598,598,3,PNG,PG
1603:16:600:0,600,600,0,PRY,PY
1603:16:600:1,600,600,1,PRY,PY
1603:16:600:2,600,600,2,PRY,PY
1603:16:604:0,604,604,0,PER,PE
1603:16:604:1,604,604,1,PER,PE
1603:16:604:2,604,604,2,PER,PE
1603:16:604:3,604,604,3,PER,PE
1603:16:608:0,608,608,0,PHL,PH
1603:16:608:1,608,608,1,PHL,PH
1603:16:608:2,608,608,2,PHL,PH
1603:16:608:3,608,608,3,PHL,PH
1603:16:616:0,616,616,0,POL,PL
1603:16:616:1,616,616,1,POL,PL
1603:16:616:2,616,616,2,POL,PL
1603:16:624:0,624,624,0,GNB,GW
1603:16:624:1,624,624,1,GNB,GW
1603:16:624:2,624,624,2,GNB,GW
1603:16:626:0,626,626,0,TLS,TL
1603:16:626:1,626,626,1,TLS,TL
1603:16:626:2,626,626,2,TLS,TL
1603:16:626:3,626,626,3,TLS,TL
1603:16:630:0,630,630,0,PRI,PR
1603:16:630:1,630,630,1,PRI,PR
1603:16:642:0,642,642,0,ROU,RO
1603:16:642:1,642,642,1,ROU,RO
1603:16:642:2,642,642,2,ROU,RO
1603:16:643:0,643,643,0,RUS,RU
1603:16:643:1,643,643,1,RUS,RU
1603:16:643:2,643,643,2,RUS,RU
1603:16:646:0,646,646,0,RWA,RW
1603:16:646:1,646,646,1,RWA,RW
1603:16:646:2,646,646,2,RWA,RW
1603:16:646:3,646,646,3,RWA,RW
1603:16:659:0,659,659,0,KNA,KN
1603:16:659:1,659,659,1,KNA,KN
1603:16:662:0,662,662,0,LCA,LC
1603:16:662:1,662,662,1,LCA,LC
1603:16:662:2,662,662,2,LCA,LC
1603:16:670:0,670,670,0,VCT,VC
1603:16:670:1,670,670,1,VCT,VC
1603:16:678:0,678,678,0,STP,ST
1603:16:678:1,678,678,1,STP,ST
1603:16:678:2,678,678,2,STP,ST
1603:16:686:0,686,686,0,SEN,SN
1603:16:686:1,686,686,1,SEN,SN
1603:16:686:2,686,686,2,SEN,SN
1603:16:686:3,686,686,3,SEN,SN
1603:16:690:0,690,690,0,SYC,SC
1603:16:690:1,690,690,1,SYC,SC
1603:16:690:2,690,690,2,SYC,SC
1603:16:690:3,690,690,3,SYC,SC
1603:16:694:0,694,694,0,SLE,SL
1603:16:694:1,694,694,1,SLE,SL
1603:16:694:2,694,694,2,SLE,SL
1603:16:694:3,694,694,3,SLE,SL
1603:16:694:4,694,694,4,SLE,SL
1603:16:703:0,703,703,0,SVK,SK
1603:16:703:1,703,703,1,SVK,SK
1603:16:703:2,703,703,2,SVK,SK
1603:16:704:0,704,704,0,VNM,VN
1603:16:704:1,704,704,1,VNM,VN
1603:16:704:2,704,704,2,VNM,VN
1603:16:706:0,706,706,0,SOM,SO
1603:16:706:1,706,706,1,SOM,SO
1603:16:706:2,706,706,2,SOM,SO
1603:16:710:0,710,710,0,ZAF,ZA
1603:16:710:1,710,710,1,ZAF,ZA
1603:16:710:2,710,710,2,ZAF,ZA
1603:16:710:3,710,710,3,ZAF,ZA
1603:16:710:4,710,710,4,ZAF,ZA
1603:16:716:0,716,716,0,ZWE,ZW
1603:16:716:1,716,716,1,ZWE,ZW
1603:16:716:2,716,716,2,ZWE,ZW
1603:16:716:3,716,716,3,ZWE,ZW
1603:16:728:0,728,728,0,SSD,SS
1603:16:728:1,728,728,1,SSD,SS
1603:16:728:2,728,728,2,SSD,SS
1603:16:729:0,729,729,0,SDN,SD
1603:16:729:1,729,729,1,SDN,SD
1603:16:729:2,729,729,2,SDN,SD
1603:16:732:0,732,732,0,ESH,EH
1603:16:732:1,732,732,1,ESH,EH
1603:16:740:0,740,740,0,SUR,SR
1603:16:740:1,740,740,1,SUR,SR
1603:16:740:2,740,740,2,SUR,SR
1603:16:748:0,748,748,0,SWZ,SZ
1603:16:748:1,748,748,1,SWZ,SZ
1603:16:748:2,748,748,2,SWZ,SZ
1603:16:760:0,760,760,0,SYR,SY
1603:16:760:1,760,760,1,SYR,SY
1603:16:760:2,760,760,2,SYR,SY
1603:16:760:3,760,760,3,SYR,SY
1603:16:764:0,764,764,0,THA,TH
1603:16:764:1,764,764,1,THA,TH
1603:16:764:2,764,764,2,THA,TH
1603:16:764:3,764,764,3,THA,TH
1603:16:768:0,768,768,0,TGO,TG
1603:16:768:1,768,768,1,TGO,TG
1603:16:768:2,768,768,2,TGO,TG
1603:16:768:3,768,768,3,TGO,TG
1603:16:776:0,776,776,0,TON,TO
1603:16:776:1,776,776,1,TON,TO
1603:16:776:2,776,776,2,TON,TO
1603:16:776:3,776,776,3,TON,TO
1603:16:780:0,780,780,0,TTO,TT
1603:16:780:1,780,780,1,TTO,TT
1603:16:792:0,792,792,0,TUR,TR
1603:16:792:1,792,792,1,TUR,TR
1603:16:792:2,792,792,2,TUR,TR
1603:16:796:0,796,796,0,TCA,TC
1603:16:796:1,796,796,1,TCA,TC
1603:16:800:0,800,800,0,UGA,UG
1603:16:800:1,800,800,1,UGA,UG
1603:16:800:2,800,800,2,UGA,UG
1603:16:800:3,800,800,3,UGA,UG
1603:16:800:4,800,800,4,UGA,UG
1603:16:804:0,804,804,0,UKR,UA
1603:16:804:1,804,804,1,UKR,UA
1603:16:804:2,804,804,2,UKR,UA
1603:16:804:3,804,804,3,UKR,UA
1603:16:818:0,818,818,0,EGY,EG
1603:16:818:1,818,818,1,EGY,EG
1603:16:818:2,818,818,2,EGY,EG
1603:16:834:0,834,834,0,TZA,TZ
1603:16:834:1,834,834,1,TZA,TZ
1603:16:834:2,834,834,2,TZA,TZ
1603:16:834:3,834,834,3,TZA,TZ
1603:16:850:0,850,850,0,VIR,VI
1603:16:850:1,850,850,1,VIR,VI
1603:16:850:2,850,850,2,VIR,VI
1603:16:854:0,854,854,0,BFA,BF
1603:16:854:1,854,854,1,BFA,BF
1603:16:854:2,854,854,2,BFA,BF
1603:16:854:3,854,854,3,BFA,BF
1603:16:858:0,858,858,0,URY,UY
1603:16:858:1,858,858,1,URY,UY
1603:16:858:2,858,858,2,URY,UY
1603:16:860:0,860,860,0,UZB,UZ
1603:16:860:1,860,860,1,UZB,UZ
1603:16:860:2,860,860,2,UZB,UZ
1603:16:862:0,862,862,0,VEN,VE
1603:16:862:1,862,862,1,VEN,VE
1603:16:862:2,862,862,2,VEN,VE
1603:16:862:3,862,862,3,VEN,VE
1603:16:887:0,887,887,0,YEM,YE
1603:16:887:1,887,887,1,YEM,YE
1603:16:887:2,887,887,2,YEM,YE
1603:16:887:3,887,887,3,YEM,YE
1603:16:894:0,894,894,0,ZMB,ZM
1603:16:894:1,894,894,1,ZMB,ZM
1603:16:894:2,894,894,2,ZMB,ZM
